"DATE,TIME,ENB_AGG,ENODEB,NOC_CLUSTER,ACC_RATE,ACC_S1_RATE,AVAILABILITY_CELL_ROP,PLMN_0_TRAFFIC_GB,PLMN_1_TRAFFIC_GB,PLMN_2_TRAFFIC_GB,RETAINABILITY,UNAVAILTIME,USER_TRAFFIC_VOLTE,VOLTE_RET,VOLTE_ERAB_ABNORMAL,ACC_VOLTE"
"2024-02-16,13:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.92,100,100,6.5243020653,0.0277,3.151,99.96,0,3.88,100,0,100"
"2024-02-16,14:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.91,99.99,100,7.9531949009,0.0442,4.659,99.98,0,3.89,100,0,99.99"
"2024-02-16,15:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.86,100,100,7.2787040842,0.0431,3.5859,99.96,0,2.27,100,0,100"
"2024-02-16,16:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,100,100,4.6800589184,0.0062,2.7483,99.99,0,2.63,100,0,100"
"2024-02-16,17:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.72,99.98,100,3.986272029,0.0069,2.7801,99.97,0,1.65,100,0,98.9802"
"2024-02-16,18:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.71,100,100,4.1625555596,0.0102,4.0026,99.95,0,1.04,100,0,100"
"2024-02-16,19:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.76,99.99,100,3.994213417,0.0385,2.1045,99.96,0,0.85,99.98,2,98.9901"
"2024-02-16,20:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.77,100,100,3.9402311658,0.0003,1.7993,99.97,0,1.92,100,0,100"
"2024-02-16,21:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.48,99.98,100,3.2441653301,0.0002,1.4251,99.96,0,0.47,100,0,99.98"
"2024-02-16,22:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.83,99.98,100,1.9507883108,0.0003,1.3975,99.96,0,0.38,99.96,2,99.98"
"2024-02-16,23:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.85,100,100,1.384869217,0,0.5765,100,0,0.15,100,0,100"
"2024-02-17,00:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.94,100,100,0.9261751547,0.0002,0.3359,100,0,0.12,100,0,100"
"2024-02-17,01:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.78,100,100,1.6657998777,0,0.6272,100,0,0,100,0,100"
"2024-02-17,02:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.93,100,100,0.6530880921,0.0001,0.2319,100,0,0.03,100,0,100"
"2024-02-17,03:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.93,100,100,0.4224870353,0,0.2357,100,0,0.08,100,0,100"
"2024-02-17,04:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.93,100,100,0.3849426278,0,0.2466,99.95,0,0.01,100,0,100"
"2024-02-17,05:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.86,100,100,0.4221247499,0,0.1308,100,0,0.02,100,0,100"
"2024-02-17,06:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.76,100,100,0.8221687742,0,0.3096,99.96,0,0.07,100,0,100"
"2024-02-17,07:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.85,100,100,1.3415990395,0,1.4611,99.99,0,0.12,100,0,100"
"2024-02-17,08:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.9,100,100,4.1234344237,0.0421,1.4601,99.98,0,0.54,99.98,2,100"
"2024-02-17,09:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.86,99.98,100,6.28327392,0.0015,3.0221,99.98,0,1.6,100,0,99.98"
"2024-02-17,10:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,100,100,6.924521177,0.0024,2.4291,99.97,0,2.1,99.99,2,100"
"2024-02-17,11:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.83,100,100,5.7942243288,0.0712,3.1004,99.97,0,2.06,99.99,2,100"
"2024-02-17,12:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.79,100,100,6.0249269007,0.0081,2.2318,99.98,0,2.44,99.99,2,100"
"2024-02-17,13:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.78,99.97,100,5.2126673979,0.0058,3.5929,99.97,0,2.92,99.99,2,99.97"
"2024-02-17,14:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.84,100,100,4.3700681991,0.0017,2.1857,99.98,0,2.42,100,0,99"
"2024-02-17,15:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.91,100,100,3.9396695785,0.003,1.9946,99.96,0,1.21,99.97,4,100"
"2024-02-17,16:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.84,99.99,100,4.9203336236,0.0012,2.1919,99.96,0,2.03,100,0,99.99"
"2024-02-17,17:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,100,100,5.1916614165,0.0032,1.6279,99.97,0,1.13,100,0,100"
"2024-02-17,18:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.78,100,100,4.6664457764,0.0911,1.7741,99.97,0,1.24,100,0,100"
"2024-02-17,19:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.74,99.97,100,3.7029637019,0.0963,2.122,99.95,0,1.56,100,0,99.97"
"2024-02-17,20:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,99.99,100,6.229272112,0.0001,1.4998,99.97,0,0.85,99.96,4,99.99"
"2024-02-17,21:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.77,100,100,3.6107441401,0.0001,1.0294,99.99,0,0.45,100,0,100"
"2024-02-17,22:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.71,100,100,2.2767912596,0.0002,0.9421,99.94,0,0.4,100,0,100"
"2024-02-17,23:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.67,100,100,1.8543405458,0.0004,0.728,99.98,0,0.34,100,0,100"
"2024-02-18,00:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.85,100,100,1.7261663442,0,0.503,99.99,0,0.1,100,0,100"
"2024-02-18,01:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.89,100,100,1.2948960063,0,0.3136,99.97,0,0.06,100,0,100"
"2024-02-18,02:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.9,100,100,0.9438293046,0,0.3676,99.97,0,0.03,100,0,100"
"2024-02-18,03:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.6,100,100,0.4526199768,0,0.1917,99.94,0,0.04,100,0,100"
"2024-02-18,04:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,100,100,0.6172163408,0,0.1987,99.98,0,0.03,100,0,100"
"2024-02-18,05:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.74,100,100,0.8350573478,0,0.1469,99.94,0,0.02,100,0,100"
"2024-02-18,06:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.45,100,100,0.5688378585,0,0.1685,99.88,0,0.07,99.93,2,99"
"2024-02-18,07:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.86,100,100,1.7976770174,0,0.354,100,0,0.05,100,0,100"
"2024-02-18,08:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.74,100,100,2.5322511785,0.0005,0.8633,99.96,0,0.82,100,0,100"
"2024-02-18,09:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,100,100,2.2331392389,0.0076,1.6941,99.96,0,0.5,99.98,2,100"
"2024-02-18,10:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.84,100,100,3.0864421275,0.001,1.9338,99.97,0,0.63,99.98,2,100"
"2024-02-18,11:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.83,100,100,4.8671197145,0.0043,2.1085,99.98,0,0.71,99.99,2,100"
"2024-02-18,12:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,100,100,6.3320593902,0.0015,1.9244,99.98,0,0.82,100,0,100"
"2024-02-18,13:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.85,100,100,6.8220729001,0.0004,2.7299,99.95,0,1.77,100,0,100"
"2024-02-18,14:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.75,100,100,6.5482798959,0.0019,2.5113,99.93,0,1.41,99.98,2,100"
"2024-02-18,15:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.79,100,100,3.7523526691,0.0014,1.7725,99.97,0,1.01,100,0,100"
"2024-02-18,16:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,99.98,100,4.0568849065,0.017,1.5087,99.98,0,0.28,100,0,99.98"
"2024-02-18,17:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.66,99.99,100,3.5113701591,0.0001,1.7354,99.94,0,0.3,99.98,2,99.99"
"2024-02-18,18:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.73,99.96,100,3.7148920812,0.0004,2.3728,99.97,0,0.39,100,0,99.96"
"2024-02-18,19:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.63,99.98,100,3.5852510481,0.0405,2.3106,99.95,0,0.82,100,0,99.98"
"2024-02-18,20:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.69,99.93,100,4.7752400851,0.0012,1.5387,99.95,0,0.79,100,0,99.93"
"2024-02-18,21:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.79,100,100,2.7164500204,0,0.9628,99.98,0,0.94,100,0,100"
"2024-02-18,22:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.56,100,100,1.6982369123,0,1.7972,99.95,0,0.3,100,0,100"
"2024-02-18,23:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.79,99.98,100,1.224378123,0,0.555,100,0,0.1,100,0,99.98"
"2024-02-19,00:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.71,100,100,0.7056035097,0,0.2241,99.98,0,0.01,100,0,100"
"2024-02-19,01:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.48,100,100,0.338926911,0,0.4071,99.97,0,0.05,100,0,100"
"2024-02-19,02:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.8,100,100,0.6281044334,0,0.0257,100,0,0.01,100,0,0"
"2024-02-19,03:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,99.87,100,0.0796504311,0,0.0396,99.97,0,0.06,100,0,99.87"
"2024-02-19,04:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.86,99.97,100,0.0905105835,0,0.0982,100,0,0,100,0,99.97"
"2024-02-19,05:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.42,100,100,0.2198917784,0,0.057,99.98,0,0.01,100,0,100"
"2024-02-19,06:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.93,100,100,2.0958976818,0,0.597,100,0,0.15,100,0,100"
"2024-02-19,07:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,100,100,4.4805528594,0.0419,2.7169,99.99,0,0.52,100,0,100"
"2024-02-19,08:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.89,100,100,6.8106893443,0.0051,4.9324,99.97,0,1.32,100,0,100"
"2024-02-19,09:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.89,100,100,6.5831737592,0.0016,4.1617,99.98,0,2.83,99.98,4,100"
"2024-02-19,10:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.85,100,100,7.4512520797,0.0272,4.0982,99.98,0,3.11,100,0,100"
"2024-02-19,11:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,100,100,6.8023335179,0.0395,4.2167,99.97,0,3.37,100,0,100"
"2024-02-19,12:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,99.98,100,6.5600657834,0.0102,3.5717,99.98,0,3.8,100,0,99.98"
"2024-02-19,13:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,100,100,9.7569739446,0.0269,4.1765,99.98,0,5.16,99.99,2,100"
"2024-02-19,14:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.88,100,100,8.1244995817,0.0827,5.4458,99.98,0,4.44,100,0,100"
"2024-02-19,15:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.88,99.99,100,6.4953248945,0.018,4.6468,99.96,0,2.73,100,0,99.99"
"2024-02-19,16:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.84,100,100,4.4583352276,0.0177,3.4583,99.97,0,2.26,99.97,4,100"
"2024-02-19,17:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,100,100,4.7168824813,0.0206,3.7032,99.97,0,1.92,100,0,99"
"2024-02-19,18:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.92,100,100,5.5988794185,0.0325,3.1579,99.99,0,2.05,100,0,98"
"2024-02-19,19:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,100,100,4.5405244454,0.0058,2.997,99.97,0,1.93,100,0,100"
"2024-02-19,20:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,100,100,4.4312961395,0.0805,2.5573,99.98,0,1.87,100,0,100"
"2024-02-19,21:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.58,100,100,2.2870842364,0.1444,1.3154,99.97,0,0.96,100,0,100"
"2024-02-19,22:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.77,99.98,100,1.7459643999,0.0001,1.0338,99.96,0,0.65,100,0,99.98"
"2024-02-19,23:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.83,100,100,1.580585725,0.0001,0.7392,100,0,0.61,100,0,100"
"2024-02-20,00:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.77,100,100,0.9119166059,0,0.2779,99.96,0,0.07,99.93,2,100"
"2024-02-20,01:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.89,99.94,100,1.0439492759,0,0.1299,100,0,0,100,0,0"
"2024-02-20,02:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.78,100,100,0.1953514287,0,0.0427,100,0,0,100,0,100"
"2024-02-20,03:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.7,100,100,0.5648396908,0,0.0841,100,0,0.01,100,0,0"
"2024-02-20,04:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.65,100,100,0.8761901407,0,0.1899,100,0,0,100,0,0"
"2024-02-20,05:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.78,100,100,0.5240980531,0.0001,0.2091,100,0,0,100,0,100"
"2024-02-20,06:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.76,100,100,1.0566907003,0.0007,0.7631,99.95,0,0.09,100,0,100"
"2024-02-20,07:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.83,99.99,100,3.6000739782,0.0415,2.3611,99.97,0,0.57,99.98,2,99.99"
"2024-02-20,08:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.85,100,100,13.1583623588,0.0323,5.0627,99.99,0,2.27,100,0,100"
"2024-02-20,09:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.85,99.99,100,7.7427411448,0.0135,4.421,99.97,0,2.62,100,0,99.99"
"2024-02-20,10:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.88,100,100,7.6076658433,0.0134,3.8593,99.98,0,3.19,100,0,100"
"2024-02-20,11:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.89,100,100,8.49059876,0.0052,3.7773,99.99,0,4.44,100,0,100"
"2024-02-20,12:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.88,100,100,8.6075402789,0.0131,4.8088,99.98,0,5.67,100,0,100"
"2024-02-20,13:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.85,100,100,8.6316876106,0.0111,4.0833,99.98,0,3.66,100,0,100"
"2024-02-20,14:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.9,100,100,6.3507407902,0.1765,4.5057,99.96,0,3.02,99.99,2,99"
"2024-02-20,15:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.9,100,100,6.3899457447,0.0742,3.3588,99.98,0,4.17,100,0,100"
"2024-02-20,16:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.89,100,100,6.9440761574,0.0786,3.512,99.97,0,4.14,100,0,100"
"2024-02-20,17:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.83,99.98,100,4.8415493216,0.006,3.585,99.97,0,3.02,100,0,99.98"
"2024-02-20,18:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.79,99.92,100,6.9732004775,0.1602,4.0213,99.97,0,3.12,99.98,4,99.92"
"2024-02-20,19:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.88,99.99,100,10.200004093,0.1251,4.4566,99.98,0,5.67,100,2,99.99"
"2024-02-20,20:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,99.99,100,9.8247304554,0.0253,4.1016,99.93,0,7.42,99.99,4,98.9901"
"2024-02-20,21:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,100,100,7.9890443004,0.0294,4.3482,99.85,0,2.19,99.96,20,100"
"2024-02-20,22:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.77,99.99,100,7.9968785866,0.0126,3.7338,99.9,0,0.93,99.97,14,99.99"
"2024-02-20,23:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.88,99.95,100,11.300540529,0.024,4.1921,99.97,0,2.71,99.99,2,99.95"
"2024-02-21,00:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.93,100,100,2.4416213849,0.0032,1.0311,99.99,0,0.32,100,0,100"
"2024-02-21,01:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.92,100,100,0.8917218068,0.0006,0.1929,99.98,0,0.09,100,0,100"
"2024-02-21,02:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.93,100,100,0.5100304256,0.0002,0.0435,99.98,0,0.15,100,0,100"
"2024-02-21,03:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.6,100,100,0.1463359217,0,0.008,100,0,0.04,100,0,100"
"2024-02-21,04:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,100,100,0.1849681131,0,0.011,100,0,0,100,0,0"
"2024-02-21,05:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.86,100,100,0.4837987939,0.0024,0.043,100,0,0.02,100,0,100"
"2024-02-21,06:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.84,100,100,0.8710976682,0.0069,1.2561,99.96,0,0.09,100,0,100"
"2024-02-21,07:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.88,100,100,5.3297039112,0.0006,2.854,99.99,0,0.51,100,0,100"
"2024-02-21,08:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.92,100,100,6.3792429861,0.05,4.6775,99.97,0,2.02,100,0,100"
"2024-02-21,09:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.9,100,100,6.9480156522,0.1173,3.4757,99.97,0,2.09,100,0,99"
"2024-02-21,10:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.9,100,100,8.7504154064,0.1043,4.0628,99.98,0,3.84,99.99,2,100"
"2024-02-21,11:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.86,100,100,6.6854590541,0.053,3.2762,99.98,0,3.39,99.99,2,100"
"2024-02-21,12:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.88,99.99,100,6.7031513899,0.0291,3.9971,99.99,0,3.89,100,0,99.99"
"2024-02-21,13:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.9,100,100,7.7681159594,0.011,4.0822,99.98,0,4.3,100,0,100"
"2024-02-21,14:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,100,100,7.2807399548,0.0183,5.2491,99.98,0,4.52,100,0,100"
"2024-02-21,15:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.84,99.98,100,6.6394414747,0.0255,5.7036,99.98,0,4.07,100,0,99.98"
"2024-02-21,16:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.82,100,100,6.6597005346,0.0595,3.1828,99.98,0,2.7,100,0,100"
"2024-02-21,17:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.84,99.99,100,4.8654824492,0.0183,3.2157,99.97,0,1.6,100,0,99.99"
"2024-02-21,18:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.87,100,100,5.5541731412,0.0625,2.9864,99.97,0,1.9,100,0,100"
"2024-02-21,19:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.92,100,100,4.501853138,0.0843,2.3947,99.98,0,1.99,99.98,2,100"
"2024-02-21,20:00,AGUAGU0002,AGUAGU0002,M&AGUASCALIENTES&AGUASCALIENTES,99.86,100,100,5.2842544385,0.0122,4.2364,99.97,0,2.78,100,0,100"
